"";"cor_raca";"faixa_etaria"
"228";"Branca";"15-29"
"229";"Branca";"15-29"
"230";"Branca";"15-29"
"231";"Branca";"15-29"
"232";"Branca";"15-29"
"233";"Branca";"15-29"
"234";"Branca";"15-29"
"235";"Branca";"15-29"
"236";"Branca";"15-29"
"237";"Branca";"15-29"
"238";"Branca";"15-29"
"239";"Branca";"15-29"
"240";"Branca";"15-29"
"241";"Branca";"15-29"
"242";"Branca";"15-29"
"243";"Branca";"15-29"
"244";"Branca";"15-29"
"245";"Branca";"15-29"
"246";"Branca";"15-29"
"247";"Branca";"15-29"
"248";"Branca";"15-29"
"249";"Branca";"15-29"
"250";"Branca";"15-29"
"251";"Branca";"15-29"
"252";"Branca";"15-29"
"253";"Branca";"15-29"
"254";"Branca";"15-29"
"255";"Branca";"15-29"
"256";"Branca";"15-29"
"257";"Branca";"15-29"
"258";"Branca";"15-29"
"259";"Branca";"15-29"
"260";"Branca";"15-29"
"261";"Branca";"15-29"
"262";"Branca";"15-29"
"263";"Branca";"15-29"
"264";"Branca";"15-29"
"265";"Branca";"15-29"
"266";"Branca";"15-29"
"267";"Branca";"15-29"
"268";"Branca";"15-29"
"269";"Branca";"15-29"
"270";"Branca";"15-29"
"271";"Branca";"15-29"
"272";"Branca";"15-29"
"273";"Branca";"15-29"
"274";"Branca";"15-29"
"275";"Branca";"15-29"
"276";"Branca";"15-29"
"277";"Branca";"15-29"
"278";"Branca";"15-29"
"279";"Branca";"15-29"
"280";"Branca";"15-29"
"281";"Branca";"15-29"
"282";"Branca";"15-29"
"283";"Branca";"15-29"
"284";"Branca";"15-29"
"285";"Branca";"15-29"
"286";"Branca";"15-29"
"287";"Branca";"15-29"
"288";"Branca";"15-29"
"289";"Branca";"15-29"
"290";"Branca";"15-29"
"291";"Branca";"15-29"
"292";"Branca";"15-29"
"293";"Branca";"15-29"
"294";"Branca";"15-29"
"295";"Branca";"15-29"
"296";"Branca";"15-29"
"297";"Branca";"15-29"
"298";"Branca";"15-29"
"299";"Branca";"15-29"
"300";"Branca";"15-29"
"301";"Branca";"15-29"
"302";"Branca";"15-29"
"303";"Branca";"15-29"
"304";"Branca";"15-29"
"305";"Branca";"15-29"
"306";"Branca";"15-29"
"307";"Branca";"15-29"
"308";"Branca";"15-29"
"309";"Branca";"15-29"
"310";"Branca";"15-29"
"311";"Branca";"15-29"
"312";"Branca";"15-29"
"313";"Branca";"15-29"
"314";"Branca";"15-29"
"315";"Branca";"15-29"
"316";"Branca";"15-29"
"317";"Branca";"15-29"
"318";"Branca";"15-29"
"319";"Branca";"15-29"
"320";"Branca";"15-29"
"321";"Branca";"15-29"
"322";"Branca";"15-29"
"323";"Branca";"15-29"
"324";"Branca";"15-29"
"325";"Branca";"15-29"
"326";"Branca";"15-29"
"327";"Branca";"15-29"
"328";"Branca";"15-29"
"329";"Branca";"15-29"
"330";"Branca";"15-29"
"331";"Branca";"15-29"
"332";"Branca";"15-29"
"333";"Branca";"15-29"
"334";"Branca";"15-29"
"335";"Branca";"15-29"
"336";"Branca";"15-29"
"337";"Branca";"15-29"
"338";"Branca";"15-29"
"339";"Branca";"15-29"
"340";"Branca";"15-29"
"341";"Branca";"15-29"
"342";"Branca";"15-29"
"343";"Branca";"15-29"
"344";"Branca";"15-29"
"345";"Branca";"15-29"
"346";"Branca";"15-29"
"347";"Branca";"15-29"
"348";"Branca";"15-29"
"349";"Branca";"15-29"
"350";"Branca";"15-29"
"351";"Branca";"15-29"
"352";"Branca";"15-29"
"353";"Branca";"15-29"
"354";"Branca";"15-29"
"355";"Branca";"15-29"
"356";"Branca";"15-29"
"357";"Branca";"15-29"
"358";"Branca";"15-29"
"359";"Branca";"15-29"
"360";"Branca";"15-29"
"361";"Branca";"15-29"
"362";"Branca";"15-29"
"363";"Branca";"15-29"
"364";"Branca";"15-29"
"365";"Branca";"15-29"
"366";"Branca";"15-29"
"367";"Branca";"15-29"
"368";"Branca";"15-29"
"369";"Branca";"15-29"
"370";"Branca";"15-29"
"371";"Branca";"15-29"
"372";"Branca";"15-29"
"373";"Branca";"15-29"
"374";"Branca";"15-29"
"375";"Branca";"15-29"
"376";"Branca";"15-29"
"377";"Branca";"15-29"
"378";"Branca";"15-29"
"379";"Branca";"15-29"
"380";"Branca";"15-29"
"381";"Branca";"15-29"
"382";"Branca";"15-29"
"383";"Branca";"15-29"
"384";"Branca";"15-29"
"385";"Branca";"15-29"
"386";"Branca";"15-29"
"387";"Branca";"15-29"
"388";"Branca";"15-29"
"389";"Branca";"15-29"
"390";"Branca";"15-29"
"391";"Branca";"15-29"
"392";"Branca";"15-29"
"393";"Branca";"15-29"
"394";"Branca";"15-29"
"395";"Branca";"15-29"
"396";"Branca";"15-29"
"397";"Branca";"15-29"
"398";"Branca";"15-29"
"399";"Branca";"15-29"
"400";"Branca";"15-29"
"401";"Branca";"15-29"
"402";"Branca";"15-29"
"403";"Branca";"15-29"
"404";"Branca";"15-29"
"405";"Branca";"15-29"
"406";"Branca";"15-29"
"407";"Branca";"15-29"
"408";"Branca";"15-29"
"409";"Branca";"15-29"
"410";"Branca";"15-29"
"411";"Branca";"15-29"
"412";"Branca";"15-29"
"413";"Branca";"15-29"
"414";"Branca";"15-29"
"415";"Branca";"15-29"
"416";"Branca";"15-29"
"417";"Branca";"15-29"
"418";"Branca";"15-29"
"419";"Branca";"15-29"
"420";"Branca";"15-29"
"421";"Branca";"15-29"
"422";"Branca";"15-29"
"423";"Branca";"15-29"
"424";"Branca";"15-29"
"425";"Branca";"15-29"
"426";"Branca";"15-29"
"427";"Branca";"15-29"
"428";"Branca";"15-29"
"429";"Branca";"15-29"
"430";"Branca";"15-29"
"431";"Branca";"15-29"
"432";"Branca";"15-29"
"433";"Branca";"15-29"
"434";"Branca";"15-29"
"435";"Branca";"15-29"
"436";"Branca";"15-29"
"437";"Branca";"15-29"
"438";"Branca";"15-29"
"439";"Branca";"15-29"
"440";"Branca";"15-29"
"441";"Branca";"15-29"
"442";"Branca";"15-29"
"443";"Branca";"15-29"
"444";"Branca";"15-29"
"445";"Branca";"15-29"
"446";"Branca";"15-29"
"447";"Branca";"15-29"
"448";"Branca";"15-29"
"449";"Branca";"15-29"
"450";"Branca";"15-29"
"451";"Branca";"15-29"
"452";"Branca";"15-29"
"453";"Branca";"15-29"
"454";"Branca";"15-29"
"455";"Branca";"15-29"
"456";"Branca";"15-29"
"457";"Branca";"15-29"
"458";"Branca";"15-29"
"459";"Branca";"15-29"
"460";"Branca";"15-29"
"461";"Branca";"15-29"
"462";"Branca";"15-29"
"463";"Branca";"15-29"
"464";"Branca";"15-29"
"465";"Branca";"15-29"
"466";"Branca";"15-29"
"467";"Branca";"15-29"
"468";"Branca";"15-29"
"469";"Branca";"15-29"
"470";"Branca";"15-29"
"471";"Branca";"15-29"
"472";"Branca";"15-29"
"473";"Branca";"15-29"
"474";"Branca";"15-29"
"475";"Branca";"15-29"
"476";"Branca";"15-29"
"477";"Branca";"15-29"
"478";"Branca";"15-29"
"479";"Branca";"15-29"
"480";"Branca";"15-29"
"481";"Branca";"15-29"
"482";"Branca";"15-29"
"483";"Branca";"15-29"
"484";"Branca";"15-29"
"485";"Branca";"15-29"
"486";"Branca";"15-29"
"487";"Branca";"15-29"
"488";"Branca";"15-29"
"489";"Branca";"15-29"
"490";"Branca";"15-29"
"491";"Branca";"15-29"
"492";"Branca";"15-29"
"493";"Branca";"15-29"
"494";"Branca";"15-29"
"495";"Branca";"15-29"
"496";"Branca";"15-29"
"497";"Branca";"15-29"
"498";"Branca";"15-29"
"499";"Branca";"15-29"
"500";"Branca";"15-29"
"501";"Branca";"15-29"
"502";"Branca";"15-29"
"503";"Branca";"15-29"
"504";"Branca";"15-29"
"505";"Branca";"15-29"
"506";"Branca";"15-29"
"507";"Branca";"15-29"
"508";"Branca";"15-29"
"509";"Branca";"15-29"
"510";"Branca";"15-29"
"511";"Branca";"15-29"
"512";"Branca";"15-29"
"513";"Branca";"15-29"
"514";"Branca";"15-29"
"515";"Branca";"15-29"
"516";"Branca";"15-29"
"517";"Branca";"15-29"
"518";"Branca";"15-29"
"519";"Branca";"15-29"
"520";"Branca";"15-29"
"521";"Branca";"15-29"
"522";"Branca";"15-29"
"523";"Branca";"15-29"
"524";"Branca";"15-29"
"525";"Branca";"15-29"
"526";"Branca";"15-29"
"527";"Branca";"15-29"
"528";"Branca";"15-29"
"529";"Branca";"15-29"
"530";"Branca";"15-29"
"531";"Branca";"15-29"
"532";"Branca";"15-29"
"533";"Branca";"15-29"
"534";"Branca";"15-29"
"535";"Branca";"15-29"
"536";"Branca";"15-29"
"537";"Branca";"15-29"
"538";"Branca";"15-29"
"539";"Branca";"15-29"
"540";"Branca";"15-29"
"541";"Branca";"15-29"
"542";"Branca";"15-29"
"543";"Branca";"15-29"
"544";"Branca";"15-29"
"545";"Branca";"15-29"
"546";"Branca";"15-29"
"547";"Branca";"15-29"
"548";"Branca";"15-29"
"549";"Branca";"15-29"
"550";"Branca";"15-29"
"551";"Branca";"15-29"
"552";"Branca";"15-29"
"553";"Branca";"15-29"
"554";"Branca";"15-29"
"555";"Branca";"15-29"
"556";"Branca";"15-29"
"557";"Branca";"15-29"
"558";"Branca";"15-29"
"559";"Branca";"15-29"
"560";"Branca";"15-29"
"561";"Branca";"15-29"
"562";"Branca";"15-29"
"563";"Branca";"15-29"
"564";"Branca";"15-29"
"565";"Branca";"15-29"
"566";"Branca";"15-29"
"567";"Branca";"15-29"
"568";"Branca";"15-29"
"569";"Branca";"15-29"
"570";"Branca";"15-29"
"571";"Branca";"15-29"
"572";"Branca";"15-29"
"573";"Branca";"15-29"
"574";"Branca";"15-29"
"575";"Branca";"15-29"
"576";"Branca";"15-29"
"577";"Branca";"15-29"
"578";"Branca";"15-29"
"579";"Branca";"15-29"
"580";"Branca";"15-29"
"581";"Branca";"15-29"
"582";"Branca";"15-29"
"583";"Branca";"15-29"
"584";"Branca";"15-29"
"585";"Branca";"15-29"
"586";"Branca";"15-29"
"587";"Branca";"15-29"
"588";"Branca";"15-29"
"589";"Branca";"15-29"
"590";"Branca";"15-29"
"591";"Branca";"15-29"
"592";"Branca";"15-29"
"593";"Branca";"15-29"
"594";"Branca";"15-29"
"595";"Branca";"15-29"
"596";"Branca";"15-29"
"597";"Branca";"15-29"
"598";"Branca";"15-29"
"599";"Branca";"15-29"
"600";"Branca";"15-29"
"601";"Branca";"15-29"
"602";"Branca";"15-29"
"603";"Branca";"15-29"
"604";"Branca";"15-29"
"605";"Branca";"15-29"
"606";"Branca";"15-29"
"607";"Branca";"15-29"
"608";"Branca";"15-29"
"609";"Branca";"15-29"
"610";"Branca";"15-29"
"611";"Branca";"15-29"
"612";"Branca";"15-29"
"613";"Branca";"15-29"
"614";"Branca";"15-29"
"615";"Branca";"15-29"
"616";"Branca";"15-29"
"617";"Branca";"15-29"
"618";"Branca";"15-29"
"619";"Branca";"15-29"
"620";"Branca";"15-29"
"621";"Branca";"15-29"
"622";"Branca";"15-29"
"623";"Branca";"15-29"
"624";"Branca";"15-29"
"625";"Branca";"15-29"
"626";"Branca";"15-29"
"627";"Branca";"15-29"
"628";"Branca";"15-29"
"629";"Branca";"15-29"
"630";"Branca";"15-29"
"631";"Branca";"15-29"
"632";"Branca";"15-29"
"633";"Branca";"15-29"
"634";"Branca";"15-29"
"635";"Branca";"15-29"
"636";"Branca";"15-29"
"637";"Branca";"15-29"
"638";"Branca";"15-29"
"639";"Branca";"15-29"
"640";"Branca";"15-29"
"641";"Branca";"15-29"
"642";"Branca";"15-29"
"643";"Branca";"15-29"
"644";"Branca";"15-29"
"645";"Branca";"15-29"
"646";"Branca";"15-29"
"647";"Branca";"15-29"
"648";"Branca";"15-29"
"649";"Branca";"15-29"
"650";"Branca";"15-29"
"651";"Branca";"15-29"
"652";"Branca";"15-29"
"653";"Branca";"15-29"
"654";"Branca";"15-29"
"655";"Branca";"15-29"
"656";"Branca";"15-29"
"657";"Branca";"15-29"
"658";"Branca";"15-29"
"659";"Branca";"15-29"
"660";"Branca";"15-29"
"661";"Branca";"15-29"
"662";"Branca";"15-29"
"663";"Branca";"15-29"
"664";"Branca";"15-29"
"665";"Branca";"15-29"
"666";"Branca";"15-29"
"667";"Branca";"15-29"
"668";"Branca";"15-29"
"669";"Branca";"15-29"
"670";"Branca";"15-29"
"671";"Branca";"15-29"
"672";"Branca";"15-29"
"673";"Branca";"15-29"
"674";"Branca";"15-29"
"675";"Branca";"15-29"
"676";"Branca";"15-29"
"677";"Branca";"15-29"
"678";"Branca";"15-29"
"679";"Branca";"15-29"
"680";"Branca";"15-29"
"681";"Branca";"15-29"
"682";"Branca";"15-29"
"683";"Branca";"15-29"
"684";"Branca";"15-29"
"685";"Branca";"15-29"
"686";"Branca";"15-29"
"687";"Branca";"15-29"
"688";"Branca";"15-29"
"689";"Branca";"15-29"
"690";"Branca";"15-29"
"691";"Branca";"15-29"
"692";"Branca";"15-29"
"693";"Branca";"15-29"
"694";"Branca";"15-29"
"695";"Branca";"15-29"
"696";"Branca";"15-29"
"697";"Branca";"15-29"
"698";"Branca";"15-29"
"699";"Branca";"15-29"
"700";"Branca";"15-29"
"701";"Branca";"15-29"
"702";"Branca";"15-29"
"703";"Branca";"15-29"
"704";"Branca";"15-29"
"705";"Branca";"15-29"
"706";"Branca";"15-29"
"707";"Branca";"15-29"
"708";"Branca";"15-29"
"709";"Branca";"15-29"
"710";"Branca";"15-29"
"711";"Branca";"15-29"
"712";"Branca";"15-29"
"713";"Branca";"15-29"
"714";"Branca";"15-29"
"715";"Branca";"15-29"
"716";"Branca";"15-29"
"717";"Branca";"15-29"
"718";"Branca";"15-29"
"719";"Branca";"15-29"
"720";"Branca";"15-29"
"721";"Branca";"15-29"
"722";"Branca";"15-29"
"723";"Branca";"15-29"
"724";"Branca";"15-29"
"725";"Branca";"15-29"
"726";"Branca";"15-29"
"727";"Branca";"15-29"
"728";"Branca";"15-29"
"729";"Branca";"15-29"
"730";"Branca";"15-29"
"731";"Branca";"15-29"
"732";"Branca";"15-29"
"733";"Branca";"15-29"
"734";"Branca";"15-29"
"735";"Branca";"15-29"
"736";"Branca";"15-29"
"737";"Branca";"15-29"
"738";"Branca";"15-29"
"739";"Branca";"15-29"
"740";"Branca";"15-29"
"741";"Branca";"15-29"
"742";"Branca";"15-29"
"743";"Branca";"15-29"
"744";"Branca";"15-29"
"745";"Branca";"15-29"
"746";"Branca";"15-29"
"747";"Branca";"15-29"
"748";"Branca";"15-29"
"749";"Branca";"15-29"
"750";"Branca";"15-29"
"751";"Branca";"15-29"
"752";"Branca";"15-29"
"753";"Branca";"15-29"
"754";"Branca";"15-29"
"755";"Branca";"15-29"
"756";"Branca";"15-29"
"757";"Branca";"15-29"
"758";"Branca";"15-29"
"759";"Branca";"15-29"
"760";"Branca";"15-29"
"761";"Branca";"15-29"
"762";"Branca";"15-29"
"763";"Branca";"15-29"
